VisitorCheckInAndBadges,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidents,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents,SchoolSecurity,SchoolProceduresRules,SchoolPreventionProgram,SchoolMentalHealthServices,SchoolTrainingProgram
1,0,1,2,4,4,4,4,4,5,5,4,5,1,7,8,80,90,5,3,3,96,7,5,12,1,0,0,2,3,0,0,2,0,1,4,1,1,0,4,3,4,2,9,5,13,1,6
1,0,1,2,4,4,4,4,4,5,4,4,5,2,13,88,90,90,4,3,3,93,36,18,54,18,0,0,0,5,5,0,12,3,1,18,3,1,0,4,3,4,2,7,5,8,1,6
1,0,1,2,4,4,4,5,5,5,5,5,5,0,14,5,93,95,5,3,3,95,11,12,23,11,0,0,0,1,0,0,6,3,0,1,1,1,0,4,3,4,2,6,4,8,0,3
1,0,1,2,5,3,4,4,5,5,5,4,5,0,10,10,76,90,7,3,3,96,3,6,9,6,0,0,0,0,0,0,3,0,0,0,0,1,0,4,3,4,1,6,4,9,0,2
1,0,1,2,4,4,4,5,4,5,4,4,5,2,10,10,92,92,6,3,3,96,39,44,83,17,0,0,4,27,0,0,21,3,0,10,5,40,0,4,3,4,2,8,5,14,2,10
1,0,1,2,4,1,4,4,4,5,4,4,5,1,9,5,95,97,7,4,3,98,25,35,60,31,2,2,0,8,7,0,12,2,0,5,6,0,1,4,3,4,3,7,5,11,0,3
1,0,1,2,4,4,4,3,4,3,4,3,4,21,96,10,35,65,4,4,3,94,32,31,63,31,0,0,16,26,26,0,4,0,2,26,2,2,0,4,3,4,3,11,6,7,2,10
1,0,3,2,4,3,4,4,4,5,4,5,5,3,16,2,84,95,7,4,3,93,7,16,23,11,1,1,0,4,3,0,7,0,0,0,0,3,1,4,3,4,2,8,5,12,0,7
1,0,1,2,4,4,5,4,4,5,4,4,5,0,26,88,95,90,10,3,3,94,15,33,48,3,1,1,0,3,1,0,2,2,2,5,6,2,0,4,3,4,2,7,4,12,0,9
1,0,2,2,4,4,4,4,4,5,4,4,4,20,15,10,80,80,7,1,1,95,144,326,470,10,16,0,0,212,0,0,45,0,0,98,1,23,0,4,3,4,4,10,6,16,2,10
1,0,1,2,4,3,4,4,4,5,4,4,5,17,12,5,70,60,4,3,3,90,8,11,19,11,0,0,0,3,3,0,3,0,0,3,2,1,0,4,3,4,2,9,4,9,0,2
1,0,1,2,4,4,4,4,4,5,4,4,5,3,8,10,70,95,3,3,3,94,18,16,34,16,3,3,9,8,8,0,4,4,0,10,0,1,0,4,3,4,3,12,6,13,0,7
1,0,4,1,3,2,4,3,3,4,4,3,4,8,11,50,40,50,4,2,3,95,24,41,65,41,9,9,12,19,19,2,9,1,1,10,2,1,1,4,3,4,4,10,5,1,0,5
1,0,4,2,4,4,4,4,5,5,5,4,5,5,10,15,85,75,7,3,3,96,38,26,64,24,0,0,0,12,12,0,12,0,0,20,6,1,0,4,3,4,3,9,4,7,0,10
1,0,2,2,4,4,4,3,4,5,4,3,5,5,11,10,60,75,5,3,3,94,50,42,92,9,0,0,9,9,1,0,25,7,1,18,0,1,0,4,3,4,2,10,5,10,1,4
1,0,1,2,4,4,5,4,5,5,5,5,5,1,19,20,43,65,8,3,3,95,8,13,21,12,0,0,0,2,2,0,5,1,0,2,0,1,0,4,3,4,2,10,4,7,0,2
1,0,2,2,4,4,4,4,5,5,5,5,5,1,8,5,70,90,7,3,3,95,11,23,34,23,0,0,0,5,5,0,2,4,0,5,0,2,0,4,3,4,3,9,3,11,1,10
1,0,4,1,4,3,4,4,4,5,4,5,5,0,21,40,25,50,7,2,3,91,26,35,61,35,3,3,17,17,17,0,2,3,2,18,3,11,1,4,3,4,2,10,6,10,0,7
1,0,3,2,5,4,4,4,5,5,5,4,5,3,13,12,72,91,4,2,2,96,26,52,78,35,0,0,7,27,15,0,8,1,0,17,0,3,2,4,3,4,4,13,8,13,1,10
1,0,2,2,5,4,4,5,4,5,5,4,4,2,9,5,40,85,7,4,3,90,17,13,30,12,1,1,2,3,3,0,4,1,2,10,2,0,0,4,3,4,4,8,6,6,0,6
1,0,2,2,4,4,4,4,5,5,5,5,5,5,8,0,65,80,7,3,3,97,14,93,107,22,1,1,4,15,11,0,4,0,1,6,4,1,0,4,3,4,3,7,7,10,0,6
1,0,4,2,5,4,4,4,5,5,5,4,4,11,9,6,60,80,5,3,3,96,45,95,140,71,0,0,45,27,15,0,23,0,0,15,7,17,0,4,3,4,4,11,8,10,1,8
1,0,2,2,5,3,5,4,5,5,5,4,5,1,15,5,56,56,4,3,3,94,26,30,56,26,1,1,5,9,5,0,3,3,0,20,0,1,0,4,3,4,3,7,4,0,0,1
1,0,1,2,4,4,4,4,4,5,4,4,5,1,13,4,69,95,5,3,3,96,9,17,26,17,5,5,0,8,8,0,3,0,2,3,3,2,0,4,3,4,2,6,3,11,0,1
1,0,2,2,3,2,4,2,5,5,5,3,4,1,19,5,60,75,7,3,3,96,39,39,78,33,1,1,11,18,18,0,11,5,1,17,6,3,1,4,3,4,3,8,6,13,0,9
1,0,4,2,3,2,2,3,2,5,2,2,4,4,10,12,81,87,4,3,3,96,26,54,80,43,0,0,12,28,17,0,8,0,2,17,1,4,1,4,3,4,3,9,5,14,0,4
1,0,1,2,4,3,4,4,4,5,4,3,5,0,20,20,30,70,5,2,3,93,23,30,53,24,0,0,4,26,22,0,1,2,0,20,0,2,0,4,3,4,1,9,7,8,1,10
1,0,2,2,4,4,4,4,4,4,4,4,5,0,8,10,100,90,7,4,3,95,6,20,26,19,2,1,0,17,16,0,0,0,0,6,0,1,0,2,4,1,4,7,6,12,1,5
1,0,1,2,5,5,5,4,5,5,5,4,5,0,25,5,80,50,7,3,3,90,3,3,6,1,0,0,0,1,0,0,1,0,0,2,0,0,0,2,4,1,2,6,4,6,0,2
1,0,2,2,5,4,1,4,4,5,5,4,5,4,17,5,87,80,6,3,3,95,8,16,24,6,0,0,1,6,0,0,0,2,0,3,3,1,0,2,4,4,2,8,3,5,2,1
0,0,2,2,4,4,4,4,4,4,4,4,4,18,25,50,70,70,4,2,3,93,10,15,25,15,0,0,0,10,10,0,4,2,1,4,0,5,0,2,4,4,4,8,4,5,2,4
1,0,2,2,4,1,4,4,4,5,5,1,5,3,10,10,90,95,6,3,3,94,33,35,68,35,0,0,9,25,25,0,8,1,0,22,2,1,1,2,4,4,3,7,4,11,0,10
